features,name,new_price,old_price,rating,url
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","3 345,34 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","3 359,39 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","3 660,94 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","3 780,45 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","3 822,66 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","3 949,80 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","4 045,16 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","4 171,78 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","4 529,41 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
"<div class=""cat-product-features"">
<div class=""cat-product-features-title""><i class=""icon-spec""></i>CECHY PRODUKTU</div>
<div class=""cat-product-feature"" title=""GeForce GTX 1050 Ti"">
Chipset graficzny:
<b>GeForce GTX 1050 Ti</b>
</div>
<div class=""cat-product-feature"" title=""Intel Core i5-8400"">
Model procesora:
<b>Intel Core i5-8400</b>
</div>
 <div class=""cat-product-feature"" title=""Gigabyte H310M DS2"">
Model płyty:
<b>Gigabyte H310M DS2</b>
</div>
<div class=""cat-product-feature"" title=""Elite"">
Seria:
<b>Elite</b>
</div>
<div class=""cat-product-feature"" title=""16 GB"">
Wielkość pamięci RAM:
<b>16 GB</b>
</div>
<a href=""/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/?scroll-to-component=specification"" class=""cat-product-features-button"">Pokaż więcej</a>
</div>","
Komputer Morele ELITE H2950 16 GB RAM/ 240 GB SSD/ 1 TB HDD/
","4 717,26 zł",,Ten produkt w ciągu ostatnich 90 dni kupiło <b>5 osób</b>,https:/www.morele.net/komputer-morele-elite-h2950-16-gb-ram-240-gb-ssd-1-tb-hdd-1543883/
