features,name,new_price,old_price,rating,url
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"175,00 zł","Ocena 5,44",https:/www.x-kom.pl/p/322520-dysk-hdd-toshiba-1tb-7200obr-64mb-p300-oem.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"185,00 zł","Ocena 5,14",https:/www.x-kom.pl/p/81294-dysk-hdd-wd-1tb-7200obr-64mb-blue.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"185,00 zł","Ocena 5,33",https:/www.x-kom.pl/p/335481-dysk-hdd-seagate-1tb-7200obr-64mb-barracuda.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: IntelliPower",,,"555,00 zł","Ocena 5,57",https:/www.x-kom.pl/p/156834-dysk-hdd-wd-4tb-intellipower-64mb-red.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"325,00 zł","Ocena 4,89",https:/www.x-kom.pl/p/323219-dysk-hdd-toshiba-3tb-7200obr-64mb-p300-oem.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"269,00 zł","Ocena 5,71",https:/www.x-kom.pl/p/339357-dysk-hdd-toshiba-2tb-7200obr-64mb-p300-oem.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: IntelliPower",,,"349,00 zł","Ocena 4,30",https:/www.x-kom.pl/p/103164-dysk-hdd-wd-2tb-intellipower-64mb-red.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"205,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/338374-dysk-hdd-seagate-1tb-25-5400obr-128mb-barracuda.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"299,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/461759-dysk-hdd-seagate-2tb-7200obr-256mb-barracuda.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: IntelliPower",,,"455,00 zł","Ocena 5,88",https:/www.x-kom.pl/p/103165-dysk-hdd-wd-3tb-intellipower-64mb-red.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"189,00 zł","Ocena 5,47",https:/www.x-kom.pl/p/256541-dysk-hdd-toshiba-1tb-7200obr-64mb-p300.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"299,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/367206-dysk-hdd-wd-2tb-intellipower-64mb-purple.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5900 obr./min",,,"545,00 zł","Ocena 5,60",https:/www.x-kom.pl/p/337228-dysk-hdd-seagate-4tb-5900obr-64mb-ironwolf.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5900 obr./min",,,"339,00 zł","Ocena 4,33",https:/www.x-kom.pl/p/337230-dysk-hdd-seagate-2tb-5900obr-64mb-ironwolf.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"269,00 zł","Ocena 5,29",https:/www.x-kom.pl/p/254254-dysk-hdd-wd-2tb-5400obr-64mb-blue.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"275,00 zł","Ocena 5,88",https:/www.x-kom.pl/p/256543-dysk-hdd-toshiba-2tb-7200obr-64mb-p300.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"175,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/335475-dysk-hdd-seagate-500gb-5400obr-128mb-barracuda.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"509,00 zł","Ocena 5,50",https:/www.x-kom.pl/p/367208-dysk-hdd-wd-4tb-intellipower-64mb-purple.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: IntelliPower",,,"279,00 zł","Ocena 5,50",https:/www.x-kom.pl/p/103163-dysk-hdd-wd-1tb-intellipower-64mb-red.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 7200 obr./min",,,"299,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/305450-dysk-hdd-wd-1tb-7200obr-32mb-black.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: IntelliPower",,,"869,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/204016-dysk-hdd-wd-6tb-intellipower-64mb-red.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"209,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/424246-dysk-hdd-wd-1tb-5400obr-128mb-blue-7mm.html
